property_id,locality_name,postal_code,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,main_city,province
11047227,etterbeek,1040,50.8379697,4.3914781,APARTMENT,FLAT_STUDIO,189000.0,BUY_REGULAR,6.0,42.0,SEMI_EQUIPPED,1.0,,0,1.0,5.0,,,,,,TO_RENOVATE,etterbeek,brussel
11105255,avelgem,8580,50.7745324,3.4458301,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,,75.0,HYPER_EQUIPPED,1.0,,1,1.0,31.0,1.0,31.0,,3.0,,AS_NEW,avelgem,west-vlaanderen
11161480,oostende,8400,51.2274646,2.9091226,APARTMENT,APARTMENT,210000.0,BUY_REGULAR,10.0,104.0,,1.0,,0,1.0,5.0,,,,,,,oostende,west-vlaanderen
11121225,anderlecht,1070,50.8257354,4.2841726,APARTMENT,APARTMENT,169000.0,BUY_REGULAR,,52.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,10.0,,,,2.0,0.0,AS_NEW,anderlecht,brussel
10745598,nieuwpoort,8620,,,APARTMENT,APARTMENT,275000.0,BUY_REGULAR,,33.0,INSTALLED,1.0,,0,1.0,,,,,,0.0,AS_NEW,nieuwpoort,west-vlaanderen
11097373,sint-gillis,1060,50.8334345,4.3422168,APARTMENT,APARTMENT,275000.0,BUY_REGULAR,,78.0,,1.0,0.0,0,,,,,,2.0,0.0,,sint-gillis,brussel
10976019,graven,1390,50.7355262,4.6512155,APARTMENT,DUPLEX,215000.0,BUY_REGULAR,,85.0,INSTALLED,1.0,,0,,,,,,2.0,0.0,GOOD,grez-doiceau,waals-brabant
10993101,knokke-heist,8300,,,APARTMENT,APARTMENT,1195000.0,BUY_REGULAR,4.0,102.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW,knokke-heist,west-vlaanderen
11156221,deurne,2100,51.2248599,4.4570517,APARTMENT,APARTMENT,179000.0,BUY_REGULAR,,94.0,SEMI_EQUIPPED,1.0,,1,,,,,,2.0,,AS_NEW,antwerpen,antwerpen
11118568,neufchâteau hamipré,6840,49.8342765,5.4558025,APARTMENT,APARTMENT,219900.0,BUY_REGULAR,,90.0,NOT_INSTALLED,1.0,0.0,0,1.0,,,,,,0.0,,neufchâteau,luxemburg
10836304,knokke-heist,8300,51.3504058,3.2841099,APARTMENT,APARTMENT,845000.0,BUY_REGULAR,,82.0,USA_HYPER_EQUIPPED,1.0,0.0,0,1.0,4.0,,,,2.0,0.0,JUST_RENOVATED,knokke-heist,west-vlaanderen
11142428,koekelberg,1081,50.8592206,4.3307792,APARTMENT,APARTMENT,170000.0,BUY_REGULAR,,55.0,,,,1,,,,,,2.0,,,koekelberg,brussel
