property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building
10645139,BLANKENBERGE,8370,Leopoldhelling,4,51.3146594,3.122708,APARTMENT,APARTMENT,260000,BUY_REGULAR,,70,INSTALLED,1,1,0,1,,,,,2,,GOOD
10345127,Middelkerke,8430,Ijzerlaan,22,51.1837442,2.8127026,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
10690110,Gullegem,8560,,,,,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
11074115,Erembodegem,9320,Ninovesteenweg,77,50.9231257,4.0364533,APARTMENT,APARTMENT,195000,BUY_REGULAR,9,98,,,,0,1,,,,,,,TO_BE_DONE_UP
11153095,Erpe-Mere,9420,,,,,HOUSE,HOUSE,389000,BUY_REGULAR,5,215,,1,,0,,,1,400,481,3,,GOOD
11131390,Hoei,4500,Rue Capitaine Belletable,"2, 01",50.524343,5.2308656,APARTMENT,APARTMENT,265000,BUY_REGULAR,,112,INSTALLED,1,,1,1,14,1,79,,3,,
11162543,MOLENBEEK-SAINT-JEAN,1080,,,,,APARTMENT,APARTMENT,285000,BUY_REGULAR,,,SEMI_EQUIPPED,1,0,0,1,4,,,,,0,
11035507,Vorselaar,2290,Lepelstraat,60,51.199085,4.769618,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
10802158,Aartrijke,8211,Eernegemsestraat,22,51.1202885,3.0873447,APARTMENT,APARTMENT,280000,BUY_REGULAR,1,80,,,,0,1,17,,,,,,GOOD
9660187,Sint-Joost-ten-Node,1210,Leuvensesteenweg,137,50.8499983,4.3773955,APARTMENT,APARTMENT,795000,BUY_REGULAR,,400,,,0,0,,,,,,2,0,
11143459,Destelbergen,9070,Europalaan,241,51.0544796,3.7692505,APARTMENT,APARTMENT,349000,BUY_REGULAR,3,88,,,,0,1,12,1,39,,,,
11131897,Aalst,9300,Kareelstraat,12,50.9269627,4.0345176,APARTMENT,APARTMENT,549000,BUY_REGULAR,,180,INSTALLED,1,,1,1,15,,,,2,,GOOD
11151943,Zoersel,2980,Medelaar,99,51.2612405,4.6504145,HOUSE,HOUSE,499500,BUY_REGULAR,,167,,,,1,1,36,1,1000,1200,4,,GOOD
11158817,Berlaar,2590,Aarschotsebaan,48,51.0833007,4.6680455,APARTMENT,APARTMENT,188000,BUY_REGULAR,11,131,HYPER_EQUIPPED,1,,0,1,,,,,,,
10786356,Bergen,7000,Chemin de la Procession,294,50.4614426,3.9694848,APARTMENT,APARTMENT,219000,BUY_REGULAR,,87,HYPER_EQUIPPED,1,0,0,1,8,,,,3,,AS_NEW
11158601,ZELE,9240,Heikant,247,51.0660303,3.9910997,HOUSE,HOUSE,270000,BUY_REGULAR,,174,NOT_INSTALLED,1,,0,,,,,240,3,,TO_RENOVATE
11156711,Antwerpen Berchem,2600,Marsstraat,44,51.2017092,4.4417645,HOUSE,APARTMENT_BLOCK,595000,BUY_REGULAR,,270,HYPER_EQUIPPED,1,,0,1,50,,,100,3,0,GOOD
11100785,Middelkerke,8430,Zeedijk,297,51.1780481,2.7922765,APARTMENT,FLAT_STUDIO,125000,BUY_REGULAR,,22,INSTALLED,1,0,0,1,2,,,,2,0,GOOD
